,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,25,1,226802,3,7,3,8,2,5,2,0,0,40,1,0
1,38,1,89814,4,9,1,10,3,1,2,0,0,50,1,0
2,28,5,336951,6,12,1,13,3,1,2,0,0,40,1,1
3,44,1,160323,2,10,1,8,3,5,2,7688,0,40,1,1
4,34,1,198693,13,6,3,3,4,1,2,0,0,30,1,0
5,63,2,104626,5,15,1,6,3,1,2,3103,0,32,1,1
6,24,1,369667,2,10,3,3,6,1,1,0,0,40,1,0
7,55,1,104996,9,4,1,2,3,1,2,0,0,10,1,0
8,65,1,184454,4,9,1,8,3,1,2,6418,0,40,1,1
9,36,4,212465,1,13,1,9,3,1,2,0,0,40,1,0
10,26,1,82091,4,9,3,9,4,1,1,0,0,39,1,0
11,48,1,279724,4,9,1,8,3,1,2,3103,0,48,1,1
12,43,1,346189,11,14,1,5,3,1,2,0,0,50,1,1
13,20,6,444554,2,10,3,3,2,1,2,0,0,25,1,0
14,43,1,128354,4,9,1,9,1,1,1,0,0,30,1,0
15,37,1,60548,4,9,5,8,6,1,1,0,0,20,1,0
16,34,1,107914,1,13,1,1,3,1,2,0,0,47,1,1
17,34,1,238588,2,10,3,3,2,5,1,0,0,35,1,0
18,25,1,220931,1,13,3,6,4,1,2,0,0,43,39,0
19,25,1,205947,1,13,1,6,3,1,2,0,0,40,1,0
20,45,2,432824,4,9,1,2,3,1,2,7298,0,90,1,1
21,22,1,236427,4,9,3,9,2,1,2,0,0,20,1,0
22,23,1,134446,4,9,4,8,6,5,2,0,0,54,1,0
23,54,1,99516,4,9,1,2,3,1,2,0,0,35,1,0
24,32,2,109282,2,10,3,6,4,1,2,0,0,60,1,0
25,46,6,106444,2,10,1,5,3,5,2,7688,0,38,1,1
26,56,2,186651,3,7,5,3,6,1,1,0,0,50,1,0
27,24,2,188274,1,13,3,4,4,1,2,0,0,50,1,0
28,23,5,258120,2,10,1,13,3,1,2,0,0,40,1,0
29,26,1,43311,4,9,2,5,6,1,1,0,0,40,1,0
30,36,5,403681,1,13,1,6,3,1,2,0,0,40,1,1
31,22,1,248446,15,3,3,12,4,1,2,0,0,50,32,0
32,17,1,269430,13,6,3,8,4,1,2,0,0,40,1,0
33,20,1,257509,4,9,3,2,2,1,2,0,0,40,1,0
34,65,1,136384,11,14,1,6,3,1,2,0,0,50,1,1
35,44,3,120277,7,11,1,4,3,1,2,0,0,45,1,1
36,36,1,465326,4,9,1,10,3,1,2,0,0,40,1,0
37,29,1,103634,3,7,1,3,3,1,2,0,0,40,1,0
38,20,6,138371,2,10,3,10,2,1,2,0,0,32,1,0
39,28,1,242832,7,11,1,6,1,1,1,0,0,36,1,1
40,39,1,290208,9,4,1,2,3,1,2,0,0,40,21,0
41,54,1,186272,2,10,1,11,3,1,2,3908,0,50,1,0
42,52,1,201062,3,7,4,12,4,5,1,0,0,18,1,0
43,56,3,131916,4,9,5,5,4,1,1,0,0,50,1,0
44,18,1,54440,2,10,3,3,2,1,2,0,0,20,1,0
45,39,1,280215,4,9,2,7,2,5,2,0,0,40,1,0
46,21,1,214399,2,10,3,3,2,1,1,0,1721,24,1,0
47,22,1,54164,4,9,3,3,4,1,2,14084,0,60,1,1
48,38,1,219446,8,5,6,5,4,1,2,0,0,54,21,0
