,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,39,6,77516,1,13,3,9,4,1,2,2174,0,40,1,0
1,50,2,83311,1,13,1,5,3,1,2,0,0,13,1,0
2,38,1,215646,4,9,2,7,4,1,2,0,0,40,1,0
3,53,1,234721,3,7,1,7,3,5,2,0,0,40,1,0
4,28,1,338409,1,13,1,6,1,5,1,0,0,40,13,0
5,37,1,284582,11,14,1,5,1,1,1,0,0,40,1,0
6,49,1,160187,8,5,6,3,4,5,1,0,0,16,19,0
7,52,2,209642,4,9,1,5,3,1,2,0,0,45,1,1
8,31,1,45781,11,14,3,6,4,1,1,14084,0,50,1,1
9,42,1,159449,1,13,1,5,3,1,2,5178,0,40,1,1
10,37,1,280464,2,10,1,5,3,5,2,0,0,80,1,1
11,30,6,141297,1,13,1,6,3,2,2,0,0,40,8,1
12,23,1,122272,1,13,3,9,2,1,1,0,0,30,1,0
13,32,1,205019,6,12,3,4,4,5,2,0,0,50,1,0
14,34,1,245487,9,4,1,11,3,3,2,0,0,45,21,0
15,25,2,176756,4,9,3,10,2,1,2,0,0,35,1,0
16,32,1,186824,4,9,3,8,6,1,2,0,0,40,1,0
17,38,1,28887,3,7,1,4,3,1,2,0,0,50,1,0
18,43,2,292175,11,14,2,5,6,1,1,0,0,45,1,1
19,40,1,193524,14,16,1,6,3,1,2,0,0,60,1,1
20,54,1,302146,4,9,4,3,6,5,1,0,0,20,1,0
21,35,4,76845,8,5,1,10,3,5,2,0,0,40,1,0
22,43,1,117037,3,7,1,11,3,1,2,0,2042,40,1,0
23,59,1,109015,4,9,2,1,6,1,1,0,0,40,1,0
24,56,5,216851,1,13,1,1,3,1,2,0,0,40,1,1
25,19,1,168294,4,9,3,2,2,1,2,0,0,40,1,0
26,39,1,367260,4,9,2,5,4,1,2,0,0,80,1,0
27,49,1,193366,4,9,1,2,3,1,2,0,0,40,1,0
28,23,5,190709,6,12,3,13,4,1,2,0,0,52,1,0
29,20,1,266015,2,10,3,4,2,5,2,0,0,44,1,0
30,45,1,386940,1,13,2,5,2,1,2,0,1408,40,1,0
31,30,4,59951,2,10,1,9,2,1,2,0,0,40,1,0
32,22,6,311512,2,10,1,3,3,5,2,0,0,15,1,0
33,48,1,242406,3,7,3,8,6,1,2,0,0,40,4,0
34,21,1,197200,2,10,3,8,2,1,2,0,0,40,1,0
35,19,1,544091,4,9,7,9,1,1,1,0,0,25,1,0
36,48,2,265477,6,12,1,6,3,1,2,0,0,40,1,0
37,31,1,507875,8,5,1,8,3,1,2,0,0,43,1,0
38,53,2,88506,1,13,1,6,3,1,2,0,0,40,1,0
39,24,1,172987,1,13,1,1,3,1,2,0,0,50,1,0
40,49,1,94638,4,9,4,9,6,1,1,0,0,40,1,0
41,25,1,289980,4,9,3,7,4,1,2,0,0,35,1,0
42,57,4,337895,1,13,1,6,3,5,2,0,0,40,1,1
43,53,1,144361,4,9,1,8,3,1,2,0,0,38,1,0
44,44,1,128354,11,14,2,5,6,1,1,0,0,40,1,0
45,41,6,101603,7,11,1,2,3,1,2,0,0,40,1,0
46,29,1,271466,7,11,3,6,4,1,2,0,0,43,1,0
47,25,1,32275,2,10,1,5,1,4,1,0,0,40,1,0
48,47,1,51835,5,15,1,6,1,1,1,0,1902,60,15,1
49,50,4,251585,1,13,2,5,4,1,2,0,0,55,1,1
50,47,3,109832,4,9,2,5,4,1,2,0,0,60,1,0
51,43,1,237993,2,10,1,1,3,1,2,0,0,40,1,1
52,46,1,216666,15,3,1,8,3,1,2,0,0,40,21,0
53,35,1,56352,7,11,1,3,3,1,2,0,0,40,4,0
54,41,1,147372,4,9,1,9,3,1,2,0,0,48,1,0
55,30,1,188146,4,9,1,8,3,1,2,5013,0,40,1,0
56,30,1,59496,1,13,1,4,3,1,2,2407,0,40,1,0
57,48,1,149640,4,9,1,11,3,1,2,0,0,40,1,0
58,42,1,116632,14,16,1,6,3,1,2,0,0,45,1,1
59,29,1,105598,2,10,2,1,4,1,2,0,0,58,1,0
60,36,1,155537,4,9,1,2,3,1,2,0,0,40,1,0
61,28,1,183175,2,10,2,9,4,1,1,0,0,40,1,0
62,53,1,169846,4,9,1,9,1,1,1,0,0,40,1,1
63,49,3,191681,2,10,1,5,3,1,2,0,0,50,1,1
64,19,1,101509,2,10,3,6,2,1,2,0,0,32,1,0
65,31,1,309974,1,13,4,4,2,5,1,0,0,40,1,0
66,29,2,162298,1,13,1,4,3,1,2,0,0,70,1,1
67,23,1,211678,2,10,3,8,4,1,2,0,0,40,1,0
68,79,1,124744,2,10,1,6,5,1,2,0,0,20,1,0
69,27,1,213921,4,9,3,3,2,1,2,0,0,40,21,0
70,40,1,32214,6,12,1,9,3,1,2,0,0,40,1,0
71,18,1,309634,3,7,3,3,2,1,1,0,0,22,1,0
72,31,5,125927,9,4,1,10,3,1,2,0,0,40,1,0
73,18,1,446839,4,9,3,4,4,1,2,0,0,30,1,0
74,52,1,276515,1,13,1,3,3,1,2,0,0,40,13,0
75,46,1,51618,4,9,1,3,1,1,1,0,0,40,1,0
76,59,1,159937,4,9,1,4,3,1,2,0,0,48,1,0
77,44,1,343591,4,9,2,2,4,1,1,14344,0,40,1,1
78,53,1,346253,4,9,2,4,2,1,1,0,0,35,1,0
79,49,5,268234,4,9,1,13,3,1,2,0,0,40,1,1
80,33,1,202051,11,14,1,6,3,1,2,0,0,50,1,0
81,30,1,54334,8,5,3,4,4,1,2,0,0,40,1,0
82,43,4,410867,14,16,3,6,4,1,1,0,0,50,1,1
83,57,1,249977,7,11,1,6,3,1,2,0,0,40,1,0
84,37,1,286730,2,10,2,2,6,1,1,0,0,40,1,0
85,28,1,212563,2,10,2,8,6,5,1,0,0,25,1,0
86,34,5,226296,1,13,1,13,3,1,2,0,0,40,1,1
